,data,denominazione_regione,totale_positivi
313,2020-03-15 17:00:00,Valle d'Aosta,56
310,2020-03-15 17:00:00,Sicilia,179
314,2020-03-15 17:00:00,Veneto,1989
304,2020-03-15 17:00:00,Molise,17
302,2020-03-15 17:00:00,Lombardia,10043
294,2020-03-15 17:00:00,Abruzzo,128
295,2020-03-15 17:00:00,Basilicata,11
296,2020-03-15 17:00:00,Calabria,66
297,2020-03-15 17:00:00,Campania,296
303,2020-03-15 17:00:00,Marche,1087
299,2020-03-15 17:00:00,Friuli Venezia Giulia,316
300,2020-03-15 17:00:00,Lazio,396
301,2020-03-15 17:00:00,Liguria,493
298,2020-03-15 17:00:00,Emilia-Romagna,2741
461,2020-03-22 17:00:00,Veneto,4644
460,2020-03-22 17:00:00,Valle d'Aosta,354
459,2020-03-22 17:00:00,Umbria,500
458,2020-03-22 17:00:00,Toscana,2144
457,2020-03-22 17:00:00,Sicilia,596
456,2020-03-22 17:00:00,Sardegna,327
455,2020-03-22 17:00:00,Puglia,748
453,2020-03-22 17:00:00,P.A. Trento,885
452,2020-03-22 17:00:00,P.A. Bolzano,648
451,2020-03-22 17:00:00,Molise,52
454,2020-03-22 17:00:00,Piemonte,4127
449,2020-03-22 17:00:00,Lombardia,17885
441,2020-03-22 17:00:00,Abruzzo,539
442,2020-03-22 17:00:00,Basilicata,81
443,2020-03-22 17:00:00,Calabria,260
444,2020-03-22 17:00:00,Campania,866
450,2020-03-22 17:00:00,Marche,2231
446,2020-03-22 17:00:00,Friuli Venezia Giulia,738
447,2020-03-22 17:00:00,Lazio,1272
448,2020-03-22 17:00:00,Liguria,1351
445,2020-03-22 17:00:00,Emilia-Romagna,6390
600,2020-03-29 17:00:00,P.A. Trento,1293
601,2020-03-29 17:00:00,Piemonte,7268
602,2020-03-29 17:00:00,Puglia,1432
603,2020-03-29 17:00:00,Sardegna,582
608,2020-03-29 17:00:00,Veneto,7251
605,2020-03-29 17:00:00,Toscana,3786
606,2020-03-29 17:00:00,Umbria,897
607,2020-03-29 17:00:00,Valle d'Aosta,539
604,2020-03-29 17:00:00,Sicilia,1330
599,2020-03-29 17:00:00,P.A. Bolzano,1034
598,2020-03-29 17:00:00,Molise,100
596,2020-03-29 17:00:00,Lombardia,25392
588,2020-03-29 17:00:00,Abruzzo,1169
589,2020-03-29 17:00:00,Basilicata,197
590,2020-03-29 17:00:00,Calabria,577
591,2020-03-29 17:00:00,Campania,1556
597,2020-03-29 17:00:00,Marche,3160
593,2020-03-29 17:00:00,Friuli Venezia Giulia,1141
594,2020-03-29 17:00:00,Lazio,2362
595,2020-03-29 17:00:00,Liguria,2279
592,2020-03-29 17:00:00,Emilia-Romagna,10535
755,2020-04-05 17:00:00,Veneto,9409
746,2020-04-05 17:00:00,P.A. Bolzano,1226
754,2020-04-05 17:00:00,Valle d'Aosta,576
753,2020-04-05 17:00:00,Umbria,898
752,2020-04-05 17:00:00,Toscana,5185
751,2020-04-05 17:00:00,Sicilia,1774
750,2020-04-05 17:00:00,Sardegna,815
749,2020-04-05 17:00:00,Puglia,2022
748,2020-04-05 17:00:00,Piemonte,10177
747,2020-04-05 17:00:00,P.A. Trento,1795
745,2020-04-05 17:00:00,Molise,187
743,2020-04-05 17:00:00,Lombardia,28124
742,2020-04-05 17:00:00,Liguria,3093
741,2020-04-05 17:00:00,Lazio,3186
740,2020-04-05 17:00:00,Friuli Venezia Giulia,1363
739,2020-04-05 17:00:00,Emilia-Romagna,12837
738,2020-04-05 17:00:00,Campania,2621
737,2020-04-05 17:00:00,Calabria,706
736,2020-04-05 17:00:00,Basilicata,254
735,2020-04-05 17:00:00,Abruzzo,1420
744,2020-04-05 17:00:00,Marche,3578
893,2020-04-12 17:00:00,P.A. Bolzano,1515
901,2020-04-12 17:00:00,Valle d'Aosta,588
900,2020-04-12 17:00:00,Umbria,687
899,2020-04-12 17:00:00,Toscana,6162
898,2020-04-12 17:00:00,Sicilia,2030
897,2020-04-12 17:00:00,Sardegna,903
896,2020-04-12 17:00:00,Puglia,2452
902,2020-04-12 17:00:00,Veneto,10729
894,2020-04-12 17:00:00,P.A. Trento,2082
892,2020-04-12 17:00:00,Molise,202
895,2020-04-12 17:00:00,Piemonte,12505
890,2020-04-12 17:00:00,Lombardia,31265
882,2020-04-12 17:00:00,Abruzzo,1742
883,2020-04-12 17:00:00,Basilicata,277
884,2020-04-12 17:00:00,Calabria,795
885,2020-04-12 17:00:00,Campania,3057
891,2020-04-12 17:00:00,Marche,3114
887,2020-04-12 17:00:00,Friuli Venezia Giulia,1326
888,2020-04-12 17:00:00,Lazio,3817
889,2020-04-12 17:00:00,Liguria,3333
886,2020-04-12 17:00:00,Emilia-Romagna,13672
1049,2020-04-19 17:00:00,Veneto,10210
1048,2020-04-19 17:00:00,Valle d'Aosta,562
1047,2020-04-19 17:00:00,Umbria,436
1046,2020-04-19 17:00:00,Toscana,6496
1045,2020-04-19 17:00:00,Sicilia,2202
1044,2020-04-19 17:00:00,Sardegna,864
1043,2020-04-19 17:00:00,Puglia,2786
1041,2020-04-19 17:00:00,P.A. Trento,1971
1040,2020-04-19 17:00:00,P.A. Bolzano,1566
1039,2020-04-19 17:00:00,Molise,215
1042,2020-04-19 17:00:00,Piemonte,14470
1037,2020-04-19 17:00:00,Lombardia,34497
1038,2020-04-19 17:00:00,Marche,3182
1030,2020-04-19 17:00:00,Basilicata,247
1031,2020-04-19 17:00:00,Calabria,844
1032,2020-04-19 17:00:00,Campania,3022
1029,2020-04-19 17:00:00,Abruzzo,1987
1034,2020-04-19 17:00:00,Friuli Venezia Giulia,1337
1035,2020-04-19 17:00:00,Lazio,4321
1036,2020-04-19 17:00:00,Liguria,3490
1033,2020-04-19 17:00:00,Emilia-Romagna,13552
1188,2020-04-26 17:00:00,P.A. Trento,1682
1189,2020-04-26 17:00:00,Piemonte,15519
1190,2020-04-26 17:00:00,Puglia,2937
1191,2020-04-26 17:00:00,Sardegna,783
1196,2020-04-26 17:00:00,Veneto,9138
1193,2020-04-26 17:00:00,Toscana,6069
1194,2020-04-26 17:00:00,Umbria,296
1195,2020-04-26 17:00:00,Valle d'Aosta,254
1192,2020-04-26 17:00:00,Sicilia,2107
1187,2020-04-26 17:00:00,P.A. Bolzano,994
1186,2020-04-26 17:00:00,Molise,200
1184,2020-04-26 17:00:00,Lombardia,35166
1176,2020-04-26 17:00:00,Abruzzo,2068
1177,2020-04-26 17:00:00,Basilicata,219
1178,2020-04-26 17:00:00,Calabria,797
1179,2020-04-26 17:00:00,Campania,2924
1185,2020-04-26 17:00:00,Marche,3308
1181,2020-04-26 17:00:00,Friuli Venezia Giulia,1248
1182,2020-04-26 17:00:00,Lazio,4573
1183,2020-04-26 17:00:00,Liguria,3480
1180,2020-04-26 17:00:00,Emilia-Romagna,12341
1334,2020-05-03 17:00:00,P.A. Bolzano,665
1342,2020-05-03 17:00:00,Valle d'Aosta,109
1341,2020-05-03 17:00:00,Umbria,183
1340,2020-05-03 17:00:00,Toscana,5328
1339,2020-05-03 17:00:00,Sicilia,2203
1338,2020-05-03 17:00:00,Sardegna,689
1337,2020-05-03 17:00:00,Puglia,2955
1336,2020-05-03 17:00:00,Piemonte,15638
1335,2020-05-03 17:00:00,P.A. Trento,1247
1343,2020-05-03 17:00:00,Veneto,7299
1333,2020-05-03 17:00:00,Molise,181
1331,2020-05-03 17:00:00,Lombardia,36926
1330,2020-05-03 17:00:00,Liguria,3551
1329,2020-05-03 17:00:00,Lazio,4385
1328,2020-05-03 17:00:00,Friuli Venezia Giulia,1087
1327,2020-05-03 17:00:00,Emilia-Romagna,9045
1326,2020-05-03 17:00:00,Campania,2726
1325,2020-05-03 17:00:00,Calabria,702
1324,2020-05-03 17:00:00,Basilicata,194
1323,2020-05-03 17:00:00,Abruzzo,1868
1332,2020-05-03 17:00:00,Marche,3198
1482,2020-05-10 17:00:00,P.A. Trento,786
1490,2020-05-10 17:00:00,Veneto,5591
1489,2020-05-10 17:00:00,Valle d'Aosta,113
1488,2020-05-10 17:00:00,Umbria,113
1487,2020-05-10 17:00:00,Toscana,4147
1486,2020-05-10 17:00:00,Sicilia,2069
1485,2020-05-10 17:00:00,Sardegna,515
1484,2020-05-10 17:00:00,Puglia,2669
1483,2020-05-10 17:00:00,Piemonte,13650
1481,2020-05-10 17:00:00,P.A. Bolzano,459
1480,2020-05-10 17:00:00,Molise,218
1479,2020-05-10 17:00:00,Marche,3251
1471,2020-05-10 17:00:00,Basilicata,143
1472,2020-05-10 17:00:00,Calabria,596
1473,2020-05-10 17:00:00,Campania,1915
1474,2020-05-10 17:00:00,Emilia-Romagna,7191
1470,2020-05-10 17:00:00,Abruzzo,1671
1476,2020-05-10 17:00:00,Lazio,4286
1477,2020-05-10 17:00:00,Liguria,2900
1478,2020-05-10 17:00:00,Lombardia,30190
1475,2020-05-10 17:00:00,Friuli Venezia Giulia,851
1629,2020-05-17 17:00:00,P.A. Trento,301
1637,2020-05-17 17:00:00,Veneto,4041
1636,2020-05-17 17:00:00,Valle d'Aosta,68
1635,2020-05-17 17:00:00,Umbria,78
1634,2020-05-17 17:00:00,Toscana,2802
1633,2020-05-17 17:00:00,Sicilia,1555
1632,2020-05-17 17:00:00,Sardegna,405
1631,2020-05-17 17:00:00,Puglia,2017
1630,2020-05-17 17:00:00,Piemonte,10239
1628,2020-05-17 17:00:00,P.A. Bolzano,314
1627,2020-05-17 17:00:00,Molise,216
1626,2020-05-17 17:00:00,Marche,2565
1618,2020-05-17 17:00:00,Basilicata,104
1619,2020-05-17 17:00:00,Calabria,422
1620,2020-05-17 17:00:00,Campania,1696
1621,2020-05-17 17:00:00,Emilia-Romagna,5656
1617,2020-05-17 17:00:00,Abruzzo,1422
1623,2020-05-17 17:00:00,Lazio,3910
1624,2020-05-17 17:00:00,Liguria,2456
1625,2020-05-17 17:00:00,Lombardia,27430
1622,2020-05-17 17:00:00,Friuli Venezia Giulia,654
1776,2020-05-24 17:00:00,P.A. Trento,535
1784,2020-05-24 17:00:00,Veneto,2660
1783,2020-05-24 17:00:00,Valle d'Aosta,32
1782,2020-05-24 17:00:00,Umbria,53
1781,2020-05-24 17:00:00,Toscana,1700
1780,2020-05-24 17:00:00,Sicilia,1453
1779,2020-05-24 17:00:00,Sardegna,245
1778,2020-05-24 17:00:00,Puglia,1793
1777,2020-05-24 17:00:00,Piemonte,7703
1775,2020-05-24 17:00:00,P.A. Bolzano,195
1774,2020-05-24 17:00:00,Molise,183
1773,2020-05-24 17:00:00,Marche,1692
1765,2020-05-24 17:00:00,Basilicata,39
1766,2020-05-24 17:00:00,Calabria,275
1767,2020-05-24 17:00:00,Campania,1268
1768,2020-05-24 17:00:00,Emilia-Romagna,4457
1764,2020-05-24 17:00:00,Abruzzo,1092
1770,2020-05-24 17:00:00,Lazio,3569
1771,2020-05-24 17:00:00,Liguria,1624
1772,2020-05-24 17:00:00,Lombardia,25614
1769,2020-05-24 17:00:00,Friuli Venezia Giulia,412
1923,2020-05-31 17:00:00,P.A. Trento,304
1931,2020-05-31 17:00:00,Veneto,1500
1930,2020-05-31 17:00:00,Valle d'Aosta,15
1929,2020-05-31 17:00:00,Umbria,31
1928,2020-05-31 17:00:00,Toscana,1111
1927,2020-05-31 17:00:00,Sicilia,986
1926,2020-05-31 17:00:00,Sardegna,185
1925,2020-05-31 17:00:00,Puglia,1177
1924,2020-05-31 17:00:00,Piemonte,5161
1922,2020-05-31 17:00:00,P.A. Bolzano,127
1921,2020-05-31 17:00:00,Molise,145
1920,2020-05-31 17:00:00,Marche,1338
1912,2020-05-31 17:00:00,Basilicata,29
1913,2020-05-31 17:00:00,Calabria,144
1914,2020-05-31 17:00:00,Campania,980
1915,2020-05-31 17:00:00,Emilia-Romagna,3163
1911,2020-05-31 17:00:00,Abruzzo,775
1917,2020-05-31 17:00:00,Lazio,2983
1918,2020-05-31 17:00:00,Liguria,669
1919,2020-05-31 17:00:00,Lombardia,20996
1916,2020-05-31 17:00:00,Friuli Venezia Giulia,278
2070,2020-06-07 17:00:00,P.A. Trento,82
2078,2020-06-07 17:00:00,Veneto,1085
2077,2020-06-07 17:00:00,Valle d'Aosta,9
2076,2020-06-07 17:00:00,Umbria,29
2075,2020-06-07 17:00:00,Toscana,750
2074,2020-06-07 17:00:00,Sicilia,862
2073,2020-06-07 17:00:00,Sardegna,59
2072,2020-06-07 17:00:00,Puglia,733
2071,2020-06-07 17:00:00,Piemonte,3962
2069,2020-06-07 17:00:00,P.A. Bolzano,97
2068,2020-06-07 17:00:00,Molise,120
2067,2020-06-07 17:00:00,Marche,1159
2059,2020-06-07 17:00:00,Basilicata,14
2060,2020-06-07 17:00:00,Calabria,91
2061,2020-06-07 17:00:00,Campania,725
2062,2020-06-07 17:00:00,Emilia-Romagna,2328
2058,2020-06-07 17:00:00,Abruzzo,653
2064,2020-06-07 17:00:00,Lazio,2690
2065,2020-06-07 17:00:00,Liguria,243
2066,2020-06-07 17:00:00,Lombardia,19420
2063,2020-06-07 17:00:00,Friuli Venezia Giulia,151
2217,2020-06-14 17:00:00,P.A. Trento,66
2225,2020-06-14 17:00:00,Veneto,772
2224,2020-06-14 17:00:00,Valle d'Aosta,7
2223,2020-06-14 17:00:00,Umbria,20
2222,2020-06-14 17:00:00,Toscana,499
2221,2020-06-14 17:00:00,Sicilia,837
2220,2020-06-14 17:00:00,Sardegna,33
2219,2020-06-14 17:00:00,Puglia,418
2218,2020-06-14 17:00:00,Piemonte,2648
2216,2020-06-14 17:00:00,P.A. Bolzano,95
2215,2020-06-14 17:00:00,Molise,74
2214,2020-06-14 17:00:00,Marche,626
2206,2020-06-14 17:00:00,Basilicata,11
2207,2020-06-14 17:00:00,Calabria,44
2208,2020-06-14 17:00:00,Campania,319
2209,2020-06-14 17:00:00,Emilia-Romagna,1637
2205,2020-06-14 17:00:00,Abruzzo,511
2211,2020-06-14 17:00:00,Lazio,1322
2212,2020-06-14 17:00:00,Liguria,243
2213,2020-06-14 17:00:00,Lombardia,15989
2210,2020-06-14 17:00:00,Friuli Venezia Giulia,103
2363,2020-06-21 17:00:00,P.A. Bolzano,75
2371,2020-06-21 17:00:00,Valle d'Aosta,5
2370,2020-06-21 17:00:00,Umbria,15
2369,2020-06-21 17:00:00,Toscana,365
2368,2020-06-21 17:00:00,Sicilia,141
2367,2020-06-21 17:00:00,Sardegna,28
2366,2020-06-21 17:00:00,Puglia,222
2365,2020-06-21 17:00:00,Piemonte,2013
2364,2020-06-21 17:00:00,P.A. Trento,53
2362,2020-06-21 17:00:00,Molise,40
2372,2020-06-21 17:00:00,Veneto,583
2360,2020-06-21 17:00:00,Lombardia,13843
2352,2020-06-21 17:00:00,Abruzzo,403
2353,2020-06-21 17:00:00,Basilicata,8
2354,2020-06-21 17:00:00,Calabria,36
2355,2020-06-21 17:00:00,Campania,126
2361,2020-06-21 17:00:00,Marche,527
2357,2020-06-21 17:00:00,Friuli Venezia Giulia,78
2358,2020-06-21 17:00:00,Lazio,991
2359,2020-06-21 17:00:00,Liguria,248
2356,2020-06-21 17:00:00,Emilia-Romagna,1172
2511,2020-06-28 17:00:00,P.A. Trento,54
2519,2020-06-28 17:00:00,Veneto,460
2518,2020-06-28 17:00:00,Valle d'Aosta,4
2517,2020-06-28 17:00:00,Umbria,9
2516,2020-06-28 17:00:00,Toscana,323
2515,2020-06-28 17:00:00,Sicilia,130
2514,2020-06-28 17:00:00,Sardegna,14
2513,2020-06-28 17:00:00,Puglia,146
2512,2020-06-28 17:00:00,Piemonte,1495
2510,2020-06-28 17:00:00,P.A. Bolzano,85
2509,2020-06-28 17:00:00,Molise,26
2508,2020-06-28 17:00:00,Marche,320
2500,2020-06-28 17:00:00,Basilicata,2
2501,2020-06-28 17:00:00,Calabria,26
2502,2020-06-28 17:00:00,Campania,163
2503,2020-06-28 17:00:00,Emilia-Romagna,1042
2499,2020-06-28 17:00:00,Abruzzo,284
2505,2020-06-28 17:00:00,Lazio,841
2506,2020-06-28 17:00:00,Liguria,272
2507,2020-06-28 17:00:00,Lombardia,10947
2504,2020-06-28 17:00:00,Friuli Venezia Giulia,38
2657,2020-07-05 17:00:00,P.A. Bolzano,85
2665,2020-07-05 17:00:00,Valle d'Aosta,5
2664,2020-07-05 17:00:00,Umbria,9
2663,2020-07-05 17:00:00,Toscana,330
2662,2020-07-05 17:00:00,Sicilia,138
2661,2020-07-05 17:00:00,Sardegna,12
2660,2020-07-05 17:00:00,Puglia,110
2659,2020-07-05 17:00:00,Piemonte,1217
2658,2020-07-05 17:00:00,P.A. Trento,42
2656,2020-07-05 17:00:00,Molise,21
2666,2020-07-05 17:00:00,Veneto,388
2654,2020-07-05 17:00:00,Lombardia,9445
2646,2020-07-05 17:00:00,Abruzzo,163
2647,2020-07-05 17:00:00,Basilicata,4
2648,2020-07-05 17:00:00,Calabria,26
2649,2020-07-05 17:00:00,Campania,201
2655,2020-07-05 17:00:00,Marche,194
2651,2020-07-05 17:00:00,Friuli Venezia Giulia,73
2652,2020-07-05 17:00:00,Lazio,861
2653,2020-07-05 17:00:00,Liguria,289
2650,2020-07-05 17:00:00,Emilia-Romagna,1029
2805,2020-07-12 17:00:00,P.A. Trento,26
2813,2020-07-12 17:00:00,Veneto,408
2812,2020-07-12 17:00:00,Valle d'Aosta,3
2811,2020-07-12 17:00:00,Umbria,9
2810,2020-07-12 17:00:00,Toscana,331
2809,2020-07-12 17:00:00,Sicilia,123
2808,2020-07-12 17:00:00,Sardegna,9
2807,2020-07-12 17:00:00,Puglia,71
2806,2020-07-12 17:00:00,Piemonte,1058
2804,2020-07-12 17:00:00,P.A. Bolzano,88
2803,2020-07-12 17:00:00,Molise,13
2802,2020-07-12 17:00:00,Marche,167
2794,2020-07-12 17:00:00,Basilicata,5
2795,2020-07-12 17:00:00,Calabria,57
2796,2020-07-12 17:00:00,Campania,246
2797,2020-07-12 17:00:00,Emilia-Romagna,1180
2793,2020-07-12 17:00:00,Abruzzo,150
2799,2020-07-12 17:00:00,Lazio,913
2800,2020-07-12 17:00:00,Liguria,239
2801,2020-07-12 17:00:00,Lombardia,8004
2798,2020-07-12 17:00:00,Friuli Venezia Giulia,79
2952,2020-07-19 17:00:00,P.A. Trento,16
2960,2020-07-19 17:00:00,Veneto,567
2959,2020-07-19 17:00:00,Valle d'Aosta,3
2958,2020-07-19 17:00:00,Umbria,12
2957,2020-07-19 17:00:00,Toscana,325
2956,2020-07-19 17:00:00,Sicilia,162
2955,2020-07-19 17:00:00,Sardegna,12
2954,2020-07-19 17:00:00,Puglia,79
2953,2020-07-19 17:00:00,Piemonte,837
2951,2020-07-19 17:00:00,P.A. Bolzano,101
2950,2020-07-19 17:00:00,Molise,8
2949,2020-07-19 17:00:00,Marche,150
2941,2020-07-19 17:00:00,Basilicata,7
2942,2020-07-19 17:00:00,Calabria,72
2943,2020-07-19 17:00:00,Campania,294
2944,2020-07-19 17:00:00,Emilia-Romagna,1266
2940,2020-07-19 17:00:00,Abruzzo,117
2946,2020-07-19 17:00:00,Lazio,872
2947,2020-07-19 17:00:00,Liguria,204
2948,2020-07-19 17:00:00,Lombardia,7240
2945,2020-07-19 17:00:00,Friuli Venezia Giulia,96
3099,2020-07-26 17:00:00,P.A. Trento,93
3107,2020-07-26 17:00:00,Veneto,722
3106,2020-07-26 17:00:00,Valle d'Aosta,1
3105,2020-07-26 17:00:00,Umbria,17
3104,2020-07-26 17:00:00,Toscana,355
3103,2020-07-26 17:00:00,Sicilia,195
3102,2020-07-26 17:00:00,Sardegna,19
3101,2020-07-26 17:00:00,Puglia,78
3100,2020-07-26 17:00:00,Piemonte,802
3098,2020-07-26 17:00:00,P.A. Bolzano,92
3097,2020-07-26 17:00:00,Molise,22
3096,2020-07-26 17:00:00,Marche,122
3088,2020-07-26 17:00:00,Basilicata,46
3089,2020-07-26 17:00:00,Calabria,79
3090,2020-07-26 17:00:00,Campania,352
3091,2020-07-26 17:00:00,Emilia-Romagna,1444
3087,2020-07-26 17:00:00,Abruzzo,112
3093,2020-07-26 17:00:00,Lazio,935
3094,2020-07-26 17:00:00,Liguria,203
3095,2020-07-26 17:00:00,Lombardia,6771
3092,2020-07-26 17:00:00,Friuli Venezia Giulia,105
3246,2020-08-02 17:00:00,P.A. Trento,99
3254,2020-08-02 17:00:00,Veneto,1034
3253,2020-08-02 17:00:00,Valle d'Aosta,13
3252,2020-08-02 17:00:00,Umbria,26
3251,2020-08-02 17:00:00,Toscana,397
3250,2020-08-02 17:00:00,Sicilia,285
3249,2020-08-02 17:00:00,Sardegna,43
3248,2020-08-02 17:00:00,Puglia,120
3247,2020-08-02 17:00:00,Piemonte,810
3245,2020-08-02 17:00:00,P.A. Bolzano,107
3244,2020-08-02 17:00:00,Molise,31
3243,2020-08-02 17:00:00,Marche,147
3235,2020-08-02 17:00:00,Basilicata,51
3236,2020-08-02 17:00:00,Calabria,98
3237,2020-08-02 17:00:00,Campania,401
3238,2020-08-02 17:00:00,Emilia-Romagna,1540
3234,2020-08-02 17:00:00,Abruzzo,116
3240,2020-08-02 17:00:00,Lazio,964
3241,2020-08-02 17:00:00,Liguria,216
3242,2020-08-02 17:00:00,Lombardia,5821
3239,2020-08-02 17:00:00,Friuli Venezia Giulia,137
3393,2020-08-09 17:00:00,P.A. Trento,78
3401,2020-08-09 17:00:00,Veneto,1240
3400,2020-08-09 17:00:00,Valle d'Aosta,14
3399,2020-08-09 17:00:00,Umbria,49
3398,2020-08-09 17:00:00,Toscana,510
3397,2020-08-09 17:00:00,Sicilia,420
3396,2020-08-09 17:00:00,Sardegna,60
3395,2020-08-09 17:00:00,Puglia,187
3394,2020-08-09 17:00:00,Piemonte,822
3392,2020-08-09 17:00:00,P.A. Bolzano,128
3391,2020-08-09 17:00:00,Molise,35
3390,2020-08-09 17:00:00,Marche,168
3382,2020-08-09 17:00:00,Basilicata,75
3383,2020-08-09 17:00:00,Calabria,100
3384,2020-08-09 17:00:00,Campania,388
3385,2020-08-09 17:00:00,Emilia-Romagna,1760
3381,2020-08-09 17:00:00,Abruzzo,213
3387,2020-08-09 17:00:00,Lazio,1046
3388,2020-08-09 17:00:00,Liguria,216
3389,2020-08-09 17:00:00,Lombardia,5588
3386,2020-08-09 17:00:00,Friuli Venezia Giulia,166
3540,2020-08-16 17:00:00,P.A. Trento,59
3548,2020-08-16 17:00:00,Veneto,1607
3547,2020-08-16 17:00:00,Valle d'Aosta,9
3546,2020-08-16 17:00:00,Umbria,83
3545,2020-08-16 17:00:00,Toscana,667
3544,2020-08-16 17:00:00,Sicilia,712
3543,2020-08-16 17:00:00,Sardegna,105
3542,2020-08-16 17:00:00,Puglia,323
3541,2020-08-16 17:00:00,Piemonte,865
3539,2020-08-16 17:00:00,P.A. Bolzano,129
3538,2020-08-16 17:00:00,Molise,35
3537,2020-08-16 17:00:00,Marche,194
3529,2020-08-16 17:00:00,Basilicata,65
3530,2020-08-16 17:00:00,Calabria,146
3531,2020-08-16 17:00:00,Campania,533
3532,2020-08-16 17:00:00,Emilia-Romagna,1805
3528,2020-08-16 17:00:00,Abruzzo,254
3534,2020-08-16 17:00:00,Lazio,1284
3535,2020-08-16 17:00:00,Liguria,285
3536,2020-08-16 17:00:00,Lombardia,5377
3533,2020-08-16 17:00:00,Friuli Venezia Giulia,196
3687,2020-08-23 17:00:00,P.A. Trento,43
3695,2020-08-23 17:00:00,Veneto,1989
3694,2020-08-23 17:00:00,Valle d'Aosta,11
3693,2020-08-23 17:00:00,Umbria,160
3692,2020-08-23 17:00:00,Toscana,980
3691,2020-08-23 17:00:00,Sicilia,903
3690,2020-08-23 17:00:00,Sardegna,338
3689,2020-08-23 17:00:00,Puglia,467
3688,2020-08-23 17:00:00,Piemonte,1061
3686,2020-08-23 17:00:00,P.A. Bolzano,157
3685,2020-08-23 17:00:00,Molise,58
3684,2020-08-23 17:00:00,Marche,245
3676,2020-08-23 17:00:00,Basilicata,71
3677,2020-08-23 17:00:00,Calabria,166
3678,2020-08-23 17:00:00,Campania,925
3679,2020-08-23 17:00:00,Emilia-Romagna,2034
3675,2020-08-23 17:00:00,Abruzzo,332
3681,2020-08-23 17:00:00,Lazio,2027
3682,2020-08-23 17:00:00,Liguria,398
3683,2020-08-23 17:00:00,Lombardia,5782
3680,2020-08-23 17:00:00,Friuli Venezia Giulia,291
3834,2020-08-30 17:00:00,P.A. Trento,87
3842,2020-08-30 17:00:00,Veneto,2345
3841,2020-08-30 17:00:00,Valle d'Aosta,23
3840,2020-08-30 17:00:00,Umbria,262
3839,2020-08-30 17:00:00,Toscana,1503
3838,2020-08-30 17:00:00,Sicilia,1114
3837,2020-08-30 17:00:00,Sardegna,712
3836,2020-08-30 17:00:00,Puglia,817
3835,2020-08-30 17:00:00,Piemonte,1405
3833,2020-08-30 17:00:00,P.A. Bolzano,190
3832,2020-08-30 17:00:00,Molise,70
3831,2020-08-30 17:00:00,Marche,302
3823,2020-08-30 17:00:00,Basilicata,88
3824,2020-08-30 17:00:00,Calabria,232
3825,2020-08-30 17:00:00,Campania,2025
3826,2020-08-30 17:00:00,Emilia-Romagna,2868
3822,2020-08-30 17:00:00,Abruzzo,429
3828,2020-08-30 17:00:00,Lazio,3035
3829,2020-08-30 17:00:00,Liguria,509
3830,2020-08-30 17:00:00,Lombardia,6829
3827,2020-08-30 17:00:00,Friuli Venezia Giulia,360
3981,2020-09-06 17:00:00,P.A. Trento,298
3989,2020-09-06 17:00:00,Veneto,2939
3988,2020-09-06 17:00:00,Valle d'Aosta,34
3987,2020-09-06 17:00:00,Umbria,356
3986,2020-09-06 17:00:00,Toscana,1994
3985,2020-09-06 17:00:00,Sicilia,1334
3984,2020-09-06 17:00:00,Sardegna,1085
3983,2020-09-06 17:00:00,Puglia,1167
3982,2020-09-06 17:00:00,Piemonte,1727
3980,2020-09-06 17:00:00,P.A. Bolzano,218
3979,2020-09-06 17:00:00,Molise,77
3978,2020-09-06 17:00:00,Marche,385
3970,2020-09-06 17:00:00,Basilicata,123
3971,2020-09-06 17:00:00,Calabria,349
3972,2020-09-06 17:00:00,Campania,2942
3973,2020-09-06 17:00:00,Emilia-Romagna,3370
3969,2020-09-06 17:00:00,Abruzzo,509
3975,2020-09-06 17:00:00,Lazio,3913
3976,2020-09-06 17:00:00,Liguria,768
3977,2020-09-06 17:00:00,Lombardia,8031
3974,2020-09-06 17:00:00,Friuli Venezia Giulia,459
4128,2020-09-13 17:00:00,P.A. Trento,442
4136,2020-09-13 17:00:00,Veneto,2967
4135,2020-09-13 17:00:00,Valle d'Aosta,36
4134,2020-09-13 17:00:00,Umbria,438
4133,2020-09-13 17:00:00,Toscana,2459
4132,2020-09-13 17:00:00,Sicilia,1793
4131,2020-09-13 17:00:00,Sardegna,1404
4130,2020-09-13 17:00:00,Puglia,1678
4129,2020-09-13 17:00:00,Piemonte,2097
4127,2020-09-13 17:00:00,P.A. Bolzano,296
4126,2020-09-13 17:00:00,Molise,93
4125,2020-09-13 17:00:00,Marche,520
4117,2020-09-13 17:00:00,Basilicata,156
4118,2020-09-13 17:00:00,Calabria,395
4119,2020-09-13 17:00:00,Campania,3941
4120,2020-09-13 17:00:00,Emilia-Romagna,3939
4116,2020-09-13 17:00:00,Abruzzo,579
4122,2020-09-13 17:00:00,Lazio,4755
4123,2020-09-13 17:00:00,Liguria,1143
4124,2020-09-13 17:00:00,Lombardia,8789
4121,2020-09-13 17:00:00,Friuli Venezia Giulia,589
4275,2020-09-20 17:00:00,P.A. Trento,557
4283,2020-09-20 17:00:00,Veneto,3093
4282,2020-09-20 17:00:00,Valle d'Aosta,51
4281,2020-09-20 17:00:00,Umbria,485
4280,2020-09-20 17:00:00,Toscana,2956
4279,2020-09-20 17:00:00,Sicilia,2316
4278,2020-09-20 17:00:00,Sardegna,1665
