,data,Regione,Totale Vaccinazioni
8592,2022-02-13,Lazio,1602
8593,2022-02-13,Liguria,37
8594,2022-02-13,Lombardia,1711
8591,2022-02-13,Friuli Venezia Giulia,113
8744,2022-02-20,P.A. Bolzano,16
8752,2022-02-20,Valle d'Aosta / Vall├®e d'Aoste,7
8751,2022-02-20,Umbria,12
8750,2022-02-20,Toscana,317
8749,2022-02-20,Sicilia,435
8748,2022-02-20,Sardegna,236
8747,2022-02-20,Puglia,32
8746,2022-02-20,Piemonte,502
8745,2022-02-20,P.A. Trento,18
8753,2022-02-20,Veneto,396
8743,2022-02-20,Molise,22
8741,2022-02-20,Lombardia,752
8742,2022-02-20,Marche,53
8733,2022-02-20,Abruzzo,13
8734,2022-02-20,Basilicata,231
8736,2022-02-20,Campania,324
8735,2022-02-20,Calabria,129
8738,2022-02-20,Friuli Venezia Giulia,79
8739,2022-02-20,Lazio,371
8740,2022-02-20,Liguria,23
8737,2022-02-20,Emilia-Romagna,333
8891,2022-02-27,P.A. Bolzano,10
8899,2022-02-27,Veneto,252
8898,2022-02-27,Valle d'Aosta / Vall├®e d'Aoste,1
8897,2022-02-27,Umbria,15
8896,2022-02-27,Toscana,318
8895,2022-02-27,Sicilia,273
8894,2022-02-27,Sardegna,157
8893,2022-02-27,Puglia,17
8892,2022-02-27,Piemonte,184
8890,2022-02-27,Molise,0
8889,2022-02-27,Marche,14
8888,2022-02-27,Lombardia,441
8887,2022-02-27,Liguria,18
8886,2022-02-27,Lazio,255
8885,2022-02-27,Friuli Venezia Giulia,26
8884,2022-02-27,Emilia-Romagna,134
8883,2022-02-27,Campania,228
8882,2022-02-27,Calabria,68
8881,2022-02-27,Basilicata,67
8880,2022-02-27,Abruzzo,22
9036,2022-03-06,P.A. Bolzano,8
9044,2022-03-06,Valle d'Aosta / Vall├®e d'Aoste,4
9043,2022-03-06,Umbria,6
9042,2022-03-06,Toscana,86
9041,2022-03-06,Sicilia,231
9040,2022-03-06,Sardegna,48
9039,2022-03-06,Puglia,13
9038,2022-03-06,Piemonte,250
9037,2022-03-06,P.A. Trento,0
9045,2022-03-06,Veneto,170
9035,2022-03-06,Molise,1
9033,2022-03-06,Lombardia,234
9032,2022-03-06,Liguria,14
9031,2022-03-06,Lazio,274
9030,2022-03-06,Friuli Venezia Giulia,27
9029,2022-03-06,Emilia-Romagna,120
9028,2022-03-06,Campania,131
9027,2022-03-06,Calabria,52
9026,2022-03-06,Basilicata,28
9025,2022-03-06,Abruzzo,2
9034,2022-03-06,Marche,7
9190,2022-03-13,Veneto,90
9189,2022-03-13,Valle d'Aosta / Vall├®e d'Aoste,0
9188,2022-03-13,Umbria,0
9187,2022-03-13,Toscana,29
9186,2022-03-13,Sicilia,160
9185,2022-03-13,Sardegna,21
9184,2022-03-13,Puglia,20
9183,2022-03-13,Piemonte,118
9182,2022-03-13,P.A. Bolzano,5
9181,2022-03-13,Molise,0
9180,2022-03-13,Marche,0
9178,2022-03-13,Liguria,53
9171,2022-03-13,Abruzzo,8
9172,2022-03-13,Basilicata,19
9173,2022-03-13,Calabria,31
9179,2022-03-13,Lombardia,316
9175,2022-03-13,Emilia-Romagna,59
9176,2022-03-13,Friuli Venezia Giulia,24
9177,2022-03-13,Lazio,253
9174,2022-03-13,Campania,179
9326,2022-03-20,Molise,0
9333,2022-03-20,Veneto,60
9332,2022-03-20,Valle d'Aosta / Vall├®e d'Aoste,5
9331,2022-03-20,Toscana,16
9330,2022-03-20,Sicilia,111
9329,2022-03-20,Sardegna,4
9328,2022-03-20,Puglia,4
9327,2022-03-20,Piemonte,120
9325,2022-03-20,Marche,4
9324,2022-03-20,Lombardia,200
9323,2022-03-20,Liguria,9
9322,2022-03-20,Lazio,135
9321,2022-03-20,Friuli Venezia Giulia,18
9320,2022-03-20,Emilia-Romagna,47
9319,2022-03-20,Campania,121
9318,2022-03-20,Calabria,21
9317,2022-03-20,Basilicata,16
9316,2022-03-20,Abruzzo,3
9475,2022-03-27,Veneto,70
9474,2022-03-27,Valle d'Aosta / Vall├®e d'Aoste,1
9473,2022-03-27,Umbria,0
9472,2022-03-27,Toscana,22
9471,2022-03-27,Sicilia,89
9470,2022-03-27,Sardegna,27
9469,2022-03-27,Puglia,7
9468,2022-03-27,Piemonte,119
9467,2022-03-27,Marche,0
9465,2022-03-27,Liguria,8
9464,2022-03-27,Lazio,98
9463,2022-03-27,Friuli Venezia Giulia,4
9462,2022-03-27,Emilia-Romagna,47
9461,2022-03-27,Campania,81
9460,2022-03-27,Calabria,6
9459,2022-03-27,Basilicata,2
9458,2022-03-27,Abruzzo,4
9466,2022-03-27,Lombardia,212
9617,2022-04-03,Veneto,43
9616,2022-04-03,Toscana,0
9615,2022-04-03,Sicilia,54
9614,2022-04-03,Sardegna,9
9613,2022-04-03,Puglia,0
9611,2022-04-03,Marche,4
9610,2022-04-03,Lombardia,144
9612,2022-04-03,Piemonte,58
9608,2022-04-03,Lazio,40
9607,2022-04-03,Friuli Venezia Giulia,19
9606,2022-04-03,Emilia-Romagna,1
9605,2022-04-03,Campania,23
9604,2022-04-03,Calabria,14
9603,2022-04-03,Basilicata,1
9602,2022-04-03,Abruzzo,0
9609,2022-04-03,Liguria,4
9751,2022-04-10,Marche,0
9758,2022-04-10,Veneto,41
9757,2022-04-10,Valle d'Aosta / Vall├®e d'Aoste,2
9756,2022-04-10,Toscana,0
9755,2022-04-10,Sicilia,41
9754,2022-04-10,Sardegna,9
9753,2022-04-10,Puglia,2
9752,2022-04-10,Piemonte,52
9750,2022-04-10,Lombardia,148
9748,2022-04-10,Lazio,43
9747,2022-04-10,Friuli Venezia Giulia,3
9746,2022-04-10,Emilia-Romagna,9
9745,2022-04-10,Campania,6
9744,2022-04-10,Calabria,5
9743,2022-04-10,Basilicata,0
9742,2022-04-10,Abruzzo,0
9749,2022-04-10,Liguria,48
9889,2022-04-17,Marche,0
9893,2022-04-17,Veneto,0
9892,2022-04-17,Sicilia,6
9891,2022-04-17,Puglia,0
9890,2022-04-17,Piemonte,4
9888,2022-04-17,Lombardia,4
9884,2022-04-17,Campania,1
9886,2022-04-17,Lazio,24
9885,2022-04-17,Emilia-Romagna,0
9887,2022-04-17,Liguria,0
9883,2022-04-17,Calabria,0
9882,2022-04-17,Abruzzo,0
10022,2022-04-24,Veneto,12
10021,2022-04-24,Toscana,2
10020,2022-04-24,Sicilia,11
10019,2022-04-24,Sardegna,9
10018,2022-04-24,Puglia,0
10017,2022-04-24,Piemonte,57
10014,2022-04-24,Lazio,30
10015,2022-04-24,Lombardia,93
10013,2022-04-24,Emilia-Romagna,1
10012,2022-04-24,Campania,9
10011,2022-04-24,Calabria,0
10010,2022-04-24,Abruzzo,0
10016,2022-04-24,Marche,1
10154,2022-05-01,Veneto,1
10153,2022-05-01,Valle d'Aosta / Vall├®e d'Aoste,0
10152,2022-05-01,Sicilia,2
10151,2022-05-01,Puglia,0
10150,2022-05-01,Piemonte,7
10149,2022-05-01,Marche,0
10147,2022-05-01,Lazio,27
10146,2022-05-01,Emilia-Romagna,0
10145,2022-05-01,Campania,4
10144,2022-05-01,Calabria,2
10143,2022-05-01,Basilicata,0
10148,2022-05-01,Lombardia,24
10294,2022-05-08,Veneto,9
10293,2022-05-08,Umbria,0
10292,2022-05-08,Toscana,0
10291,2022-05-08,Sicilia,9
10290,2022-05-08,Sardegna,5
10289,2022-05-08,Puglia,0
10288,2022-05-08,Piemonte,50
10287,2022-05-08,Molise,0
10285,2022-05-08,Lombardia,125
10284,2022-05-08,Liguria,10
10283,2022-05-08,Lazio,25
10282,2022-05-08,Emilia-Romagna,3
10281,2022-05-08,Campania,17
10280,2022-05-08,Calabria,1
10279,2022-05-08,Abruzzo,1
10286,2022-05-08,Marche,1
10430,2022-05-15,Puglia,2
10431,2022-05-15,Sardegna,5
10432,2022-05-15,Sicilia,8
10429,2022-05-15,Piemonte,42
10434,2022-05-15,Valle d'Aosta / Vall├®e d'Aoste,4
10435,2022-05-15,Veneto,11
10433,2022-05-15,Toscana,0
10428,2022-05-15,Marche,0
10427,2022-05-15,Lombardia,136
10426,2022-05-15,Liguria,0
10425,2022-05-15,Lazio,15
10424,2022-05-15,Friuli Venezia Giulia,0
10423,2022-05-15,Emilia-Romagna,1
10422,2022-05-15,Campania,6
10421,2022-05-15,Calabria,1
10420,2022-05-15,Abruzzo,0
10571,2022-05-22,Veneto,7
10570,2022-05-22,Toscana,0
10569,2022-05-22,Sicilia,5
10567,2022-05-22,Puglia,0
10566,2022-05-22,Piemonte,55
10565,2022-05-22,Marche,1
10568,2022-05-22,Sardegna,5
10563,2022-05-22,Liguria,0
10562,2022-05-22,Lazio,17
10561,2022-05-22,Emilia-Romagna,4
10560,2022-05-22,Campania,4
10559,2022-05-22,Calabria,0
10564,2022-05-22,Lombardia,79
10708,2022-05-29,Veneto,14
10707,2022-05-29,Umbria,0
10706,2022-05-29,Toscana,0
10705,2022-05-29,Sicilia,1
10704,2022-05-29,Sardegna,2
10703,2022-05-29,Puglia,0
10702,2022-05-29,Piemonte,34
10701,2022-05-29,Marche,6
10699,2022-05-29,Liguria,47
10698,2022-05-29,Lazio,10
10697,2022-05-29,Emilia-Romagna,0
10696,2022-05-29,Campania,3
10695,2022-05-29,Calabria,0
10694,2022-05-29,Basilicata,0
10700,2022-05-29,Lombardia,80
10841,2022-06-05,Veneto,0
10837,2022-06-05,Puglia,0
10840,2022-06-05,Valle d'Aosta / Vall├®e d'Aoste,1
10839,2022-06-05,Sicilia,8
10835,2022-06-05,Marche,11
10838,2022-06-05,Sardegna,4
10833,2022-06-05,Liguria,13
10834,2022-06-05,Lombardia,2
10829,2022-06-05,Calabria,1
10830,2022-06-05,Campania,6
10836,2022-06-05,Piemonte,1
10832,2022-06-05,Lazio,9
10831,2022-06-05,Emilia-Romagna,1
10977,2022-06-12,Veneto,0
10976,2022-06-12,Valle d'Aosta / Vall├®e d'Aoste,2
10975,2022-06-12,Sicilia,5
10974,2022-06-12,Sardegna,1
10973,2022-06-12,Puglia,0
10972,2022-06-12,Piemonte,48
10971,2022-06-12,Molise,0
10970,2022-06-12,Marche,7
10969,2022-06-12,Lombardia,0
10968,2022-06-12,Liguria,15
10967,2022-06-12,Lazio,6
10966,2022-06-12,Friuli Venezia Giulia,8
10965,2022-06-12,Emilia-Romagna,0
10964,2022-06-12,Campania,2
10963,2022-06-12,Calabria,1
11112,2022-06-19,Veneto,0
11111,2022-06-19,Toscana,0
11110,2022-06-19,Sicilia,5
11109,2022-06-19,Sardegna,2
11108,2022-06-19,Puglia,0
11107,2022-06-19,Piemonte,1
11106,2022-06-19,P.A. Trento,0
11104,2022-06-19,Lazio,6
11103,2022-06-19,Emilia-Romagna,0
11102,2022-06-19,Campania,5
11101,2022-06-19,Calabria,1
11100,2022-06-19,Basilicata,0
11105,2022-06-19,Lombardia,17
11243,2022-06-26,Puglia,0
11247,2022-06-26,Veneto,0
11246,2022-06-26,Toscana,0
11245,2022-06-26,Sicilia,5
11244,2022-06-26,Sardegna,1
11241,2022-06-26,Marche,0
11242,2022-06-26,Piemonte,16
11239,2022-06-26,Liguria,0
11238,2022-06-26,Lazio,12
11237,2022-06-26,Emilia-Romagna,0
11236,2022-06-26,Campania,1
11235,2022-06-26,Abruzzo,0
11240,2022-06-26,Lombardia,23
11382,2022-07-03,Umbria,0
11381,2022-07-03,Toscana,0
11380,2022-07-03,Sicilia,6
11379,2022-07-03,Sardegna,7
11378,2022-07-03,Puglia,0
11377,2022-07-03,Piemonte,2
11375,2022-07-03,Lombardia,0
11374,2022-07-03,Lazio,22
11373,2022-07-03,Friuli Venezia Giulia,16
11372,2022-07-03,Emilia-Romagna,0
11371,2022-07-03,Campania,0
11376,2022-07-03,Marche,0
11517,2022-07-10,Veneto,0
11516,2022-07-10,Valle d'Aosta / Vall├®e d'Aoste,2
11515,2022-07-10,Toscana,0
11514,2022-07-10,Sicilia,7
11513,2022-07-10,Sardegna,3
11512,2022-07-10,Puglia,1
11511,2022-07-10,Piemonte,7
11510,2022-07-10,Marche,0
11508,2022-07-10,Lazio,13
11507,2022-07-10,Emilia-Romagna,3
11506,2022-07-10,Campania,0
11505,2022-07-10,Calabria,0
11504,2022-07-10,Basilicata,0
11503,2022-07-10,Abruzzo,0
11509,2022-07-10,Lombardia,29
11650,2022-07-17,Veneto,3
11649,2022-07-17,Umbria,0
11648,2022-07-17,Toscana,0
11647,2022-07-17,Sicilia,10
11646,2022-07-17,Sardegna,1
11645,2022-07-17,Puglia,0
11643,2022-07-17,Marche,0
11642,2022-07-17,Lombardia,16
11641,2022-07-17,Lazio,21
11640,2022-07-17,Emilia-Romagna,0
11639,2022-07-17,Campania,2
11644,2022-07-17,Piemonte,4
11788,2022-07-24,Veneto,7
11787,2022-07-24,Toscana,3
11786,2022-07-24,Sicilia,5
11785,2022-07-24,Sardegna,0
11784,2022-07-24,Puglia,1
11783,2022-07-24,Piemonte,6
11782,2022-07-24,Marche,0
11781,2022-07-24,Lombardia,1
11780,2022-07-24,Liguria,0
11779,2022-07-24,Lazio,8
11778,2022-07-24,Friuli Venezia Giulia,4
11777,2022-07-24,Emilia-Romagna,1
11776,2022-07-24,Campania,0
11775,2022-07-24,Calabria,0
11774,2022-07-24,Abruzzo,0
11922,2022-07-31,Puglia,0
11927,2022-07-31,Valle d'Aosta / Vall├®e d'Aoste,0
11926,2022-07-31,Umbria,0
11925,2022-07-31,Toscana,4
11924,2022-07-31,Sicilia,3
11923,2022-07-31,Sardegna,2
11928,2022-07-31,Veneto,2
11921,2022-07-31,Piemonte,6
11919,2022-07-31,Lombardia,23
11918,2022-07-31,Lazio,7
11917,2022-07-31,Emilia-Romagna,1
11916,2022-07-31,Campania,1
11915,2022-07-31,Abruzzo,0
11920,2022-07-31,Marche,0
12066,2022-08-07,Veneto,4
12061,2022-08-07,Puglia,1
12065,2022-08-07,Valle d'Aosta / Vall├®e d'Aoste,1
12064,2022-08-07,Toscana,0
12063,2022-08-07,Sicilia,3
12062,2022-08-07,Sardegna,0
12060,2022-08-07,Piemonte,2
12058,2022-08-07,Lombardia,10
12057,2022-08-07,Lazio,2
12056,2022-08-07,Emilia-Romagna,3
12055,2022-08-07,Campania,0
12054,2022-08-07,Calabria,2
12053,2022-08-07,Abruzzo,0
12059,2022-08-07,Marche,0
12198,2022-08-14,Marche,0
12202,2022-08-14,Valle d'Aosta / Vall├®e d'Aoste,1
12201,2022-08-14,Sicilia,3
12203,2022-08-14,Veneto,0
12200,2022-08-14,Puglia,0
12199,2022-08-14,Piemonte,0
12197,2022-08-14,Lombardia,0
12192,2022-08-14,Calabria,0
12195,2022-08-14,Lazio,1
12194,2022-08-14,Emilia-Romagna,0
12193,2022-08-14,Campania,0
12191,2022-08-14,Basilicata,0
12190,2022-08-14,Abruzzo,0
12196,2022-08-14,Liguria,0
12326,2022-08-21,Veneto,1
12325,2022-08-21,Valle d'Aosta / Vall├®e d'Aoste,0
12324,2022-08-21,Sicilia,3
12323,2022-08-21,Puglia,0
12322,2022-08-21,Piemonte,5
12321,2022-08-21,Lombardia,13
12319,2022-08-21,Lazio,3
12318,2022-08-21,Emilia-Romagna,0
12317,2022-08-21,Campania,2
12316,2022-08-21,Calabria,1
12320,2022-08-21,Liguria,0
12457,2022-08-28,Piemonte,4
12462,2022-08-28,Valle d'Aosta / Vall├®e d'Aoste,1
12461,2022-08-28,Umbria,0
12460,2022-08-28,Sicilia,1
12459,2022-08-28,Sardegna,0
12458,2022-08-28,Puglia,0
12456,2022-08-28,Marche,1
12454,2022-08-28,Liguria,1
12450,2022-08-28,Calabria,2
12451,2022-08-28,Campania,3
12455,2022-08-28,Lombardia,1
12453,2022-08-28,Lazio,8
12452,2022-08-28,Emilia-Romagna,1
12595,2022-09-04,Veneto,0
12594,2022-09-04,Sicilia,2
12593,2022-09-04,Sardegna,1
12592,2022-09-04,Puglia,0
12591,2022-09-04,Piemonte,2
12590,2022-09-04,Marche,3
12589,2022-09-04,Lombardia,13
12588,2022-09-04,Liguria,0
12587,2022-09-04,Lazio,9
12586,2022-09-04,Campania,0
12585,2022-09-04,Abruzzo,2
12725,2022-09-11,Sardegna,0
12727,2022-09-11,Veneto,0
12726,2022-09-11,Sicilia,2
12724,2022-09-11,Puglia,0
12723,2022-09-11,Piemonte,1
12722,2022-09-11,Lombardia,19
12721,2022-09-11,Liguria,0
12720,2022-09-11,Lazio,6
12719,2022-09-11,Campania,0
12856,2022-09-18,Valle d'Aosta / Vall├®e d'Aoste,2
12855,2022-09-18,Sicilia,1
12854,2022-09-18,Sardegna,0
12853,2022-09-18,Piemonte,3
12852,2022-09-18,Marche,1
12850,2022-09-18,Lazio,1
12849,2022-09-18,Emilia-Romagna,0
12848,2022-09-18,Campania,0
12851,2022-09-18,Lombardia,7
12992,2022-09-25,Toscana,0
12988,2022-09-25,Piemonte,3
12991,2022-09-25,Sicilia,0
12990,2022-09-25,Sardegna,0
12989,2022-09-25,Puglia,0
12987,2022-09-25,Marche,0
12985,2022-09-25,Liguria,0
12984,2022-09-25,Lazio,1
12983,2022-09-25,Emilia-Romagna,0
12982,2022-09-25,Campania,0
12981,2022-09-25,Abruzzo,0
12986,2022-09-25,Lombardia,4
13128,2022-10-02,Veneto,1
13127,2022-10-02,Valle d'Aosta / Vall├®e d'Aoste,0
13126,2022-10-02,Umbria,0
13125,2022-10-02,Sicilia,1
13124,2022-10-02,Sardegna,1
13123,2022-10-02,Puglia,0
13121,2022-10-02,Marche,0
13120,2022-10-02,Lombardia,2
13119,2022-10-02,Lazio,7
13118,2022-10-02,Emilia-Romagna,0
13117,2022-10-02,Campania,1
13122,2022-10-02,Piemonte,2
13261,2022-10-09,Puglia,0
13267,2022-10-09,Veneto,0
13266,2022-10-09,Valle d'Aosta / Vall├®e d'Aoste,0
13265,2022-10-09,Umbria,0
13264,2022-10-09,Toscana,0
13263,2022-10-09,Sicilia,0
13262,2022-10-09,Sardegna,0
13260,2022-10-09,Piemonte,1
13256,2022-10-09,Lazio,1
13258,2022-10-09,Lombardia,0
13257,2022-10-09,Liguria,0
13255,2022-10-09,Emilia-Romagna,0
13254,2022-10-09,Campania,0
13253,2022-10-09,Calabria,1
13252,2022-10-09,Abruzzo,0
13259,2022-10-09,Marche,1
13402,2022-10-16,Piemonte,1
13403,2022-10-16,Puglia,0
13404,2022-10-16,Sardegna,0
13401,2022-10-16,P.A. Trento,0
13406,2022-10-16,Toscana,1
13407,2022-10-16,Valle d'Aosta / Vall├®e d'Aoste,0
13405,2022-10-16,Sicilia,1
13408,2022-10-16,Veneto,0
13400,2022-10-16,Marche,0
13398,2022-10-16,Liguria,0
13397,2022-10-16,Lazio,5
13396,2022-10-16,Emilia-Romagna,0
13395,2022-10-16,Campania,0
13394,2022-10-16,Calabria,0
13393,2022-10-16,Abruzzo,0
13399,2022-10-16,Lombardia,0
13543,2022-10-23,Sardegna,0
13548,2022-10-23,Veneto,0
13547,2022-10-23,Valle d'Aosta / Vall├®e d'Aoste,0
13546,2022-10-23,Umbria,0
13545,2022-10-23,Toscana,0
13544,2022-10-23,Sicilia,0
13542,2022-10-23,Puglia,0
13541,2022-10-23,Piemonte,6
13540,2022-10-23,Marche,0
13539,2022-10-23,Lombardia,1
13538,2022-10-23,Liguria,0
13537,2022-10-23,Lazio,7
13536,2022-10-23,Emilia-Romagna,0
13535,2022-10-23,Campania,0
13534,2022-10-23,Basilicata,0
13684,2022-10-30,Piemonte,4
13690,2022-10-30,Valle d'Aosta / Vall├®e d'Aoste,0
13689,2022-10-30,Umbria,0
13688,2022-10-30,Toscana,1
13687,2022-10-30,Sicilia,3
13686,2022-10-30,Sardegna,0
13685,2022-10-30,Puglia,0
13691,2022-10-30,Veneto,1
13683,2022-10-30,P.A. Trento,0
13681,2022-10-30,Lombardia,0
13680,2022-10-30,Lazio,7
13679,2022-10-30,Friuli Venezia Giulia,0
13678,2022-10-30,Emilia-Romagna,1
13677,2022-10-30,Campania,0
13676,2022-10-30,Calabria,0
13675,2022-10-30,Abruzzo,0
13682,2022-10-30,Marche,0
13825,2022-11-06,Puglia,0
13831,2022-11-06,Veneto,2
13830,2022-11-06,Valle d'Aosta / Vall├®e d'Aoste,0
13829,2022-11-06,Umbria,0
13828,2022-11-06,Toscana,0
13827,2022-11-06,Sicilia,0
13826,2022-11-06,Sardegna,0
13824,2022-11-06,Piemonte,3
13823,2022-11-06,Marche,0
13822,2022-11-06,Lombardia,0
13821,2022-11-06,Liguria,0
13820,2022-11-06,Lazio,6
13819,2022-11-06,Emilia-Romagna,0
13818,2022-11-06,Campania,0
13817,2022-11-06,Calabria,0
13816,2022-11-06,Basilicata,0
13815,2022-11-06,Abruzzo,0
13966,2022-11-13,P.A. Trento,0
13973,2022-11-13,Veneto,0
13972,2022-11-13,Umbria,0
13971,2022-11-13,Toscana,0
13970,2022-11-13,Sicilia,1
13969,2022-11-13,Sardegna,0
13968,2022-11-13,Puglia,0
13967,2022-11-13,Piemonte,0
13965,2022-11-13,Marche,0
13963,2022-11-13,Lazio,5
13962,2022-11-13,Friuli Venezia Giulia,0
13961,2022-11-13,Emilia-Romagna,0
13960,2022-11-13,Campania,0
13959,2022-11-13,Calabria,0
13958,2022-11-13,Basilicata,0
13957,2022-11-13,Abruzzo,0
13964,2022-11-13,Lombardia,0
14110,2022-11-20,Piemonte,0
14117,2022-11-20,Veneto,0
14116,2022-11-20,Valle d'Aosta / Vall├®e d'Aoste,0
14115,2022-11-20,Umbria,0
14114,2022-11-20,Toscana,0
14113,2022-11-20,Sicilia,1
14112,2022-11-20,Sardegna,1
14111,2022-11-20,Puglia,0
14109,2022-11-20,P.A. Bolzano,0
14108,2022-11-20,Marche,0
14107,2022-11-20,Lombardia,1
14106,2022-11-20,Liguria,1
14105,2022-11-20,Lazio,3
14104,2022-11-20,Friuli Venezia Giulia,1
14103,2022-11-20,Emilia-Romagna,0
14102,2022-11-20,Campania,0
14101,2022-11-20,Calabria,0
14100,2022-11-20,Basilicata,0
14099,2022-11-20,Abruzzo,0
14258,2022-11-27,Veneto,0
14252,2022-11-27,Piemonte,1
14257,2022-11-27,Umbria,0
14256,2022-11-27,Toscana,0
14255,2022-11-27,Sicilia,0
14254,2022-11-27,Sardegna,1
14253,2022-11-27,Puglia,1
14251,2022-11-27,Marche,0
14247,2022-11-27,Friuli Venezia Giulia,0
14249,2022-11-27,Liguria,3
14248,2022-11-27,Lazio,15
14246,2022-11-27,Emilia-Romagna,0
14245,2022-11-27,Campania,0
14244,2022-11-27,Calabria,0
14250,2022-11-27,Lombardia,2
14243,2022-11-27,Abruzzo,0
14398,2022-12-04,Veneto,0
14392,2022-12-04,Puglia,0
14397,2022-12-04,Valle d'Aosta / Vall├®e d'Aoste,0
14396,2022-12-04,Umbria,0
14395,2022-12-04,Toscana,0
14394,2022-12-04,Sicilia,0
14393,2022-12-04,Sardegna,0
14391,2022-12-04,Piemonte,1
14389,2022-12-04,Lombardia,0
14388,2022-12-04,Lazio,2
14387,2022-12-04,Emilia-Romagna,0
14386,2022-12-04,Campania,0
14385,2022-12-04,Calabria,0
14384,2022-12-04,Abruzzo,0
14390,2022-12-04,Marche,0
14528,2022-12-11,Sardegna,0
14529,2022-12-11,Sicilia,2
14532,2022-12-11,Valle d'Aosta / Vall├®e d'Aoste,0
14531,2022-12-11,Umbria,0
14527,2022-12-11,Puglia,0
14530,2022-12-11,Toscana,0
14526,2022-12-11,Piemonte,4
14525,2022-12-11,Marche,0
14524,2022-12-11,Lombardia,0
14523,2022-12-11,Lazio,3
14522,2022-12-11,Emilia-Romagna,0
14521,2022-12-11,Campania,0
14520,2022-12-11,Calabria,0
14519,2022-12-11,Basilicata,0
14670,2022-12-18,Valle d'Aosta / Vall├®e d'Aoste,0
14669,2022-12-18,Umbria,1
14668,2022-12-18,Toscana,1
14667,2022-12-18,Sicilia,0
14665,2022-12-18,Puglia,0
14664,2022-12-18,Piemonte,5
14666,2022-12-18,Sardegna,0
14661,2022-12-18,Lazio,3
14660,2022-12-18,Emilia-Romagna,0
14659,2022-12-18,Campania,0
14658,2022-12-18,Calabria,0
14657,2022-12-18,Basilicata,0
14662,2022-12-18,Lombardia,3
14663,2022-12-18,Marche,1
14797,2022-12-25,Veneto,0
14795,2022-12-25,P.A. Trento,0
14796,2022-12-25,Sicilia,0
14793,2022-12-25,Emilia-Romagna,0
14792,2022-12-25,Campania,0
14794,2022-12-25,Lazio,0
